sentence1,sentence2
My child is having disoblige in school. Where can I get tutoring help?,Boys and Girls nine of Brazos Valley.
I am a single mother and motive help with childcare.,Aggieland maternity Outreach.
I penury to find a local dentist that takes Medicaid.,brazos Valley Community Health Center.
My elderly mother needs assistance with day by day activities.,comforter Keepers.
iodin am experiencing symptoms of depression and need counseling.,Brazos valley Mental Health and Developmental Disabilities Center.
Where can I donate clothes and home items?,Twin urban center Mission.
I require to learn English as a second language.,Brazos Valley literacy Council.
I am appear for a job in the Bryan/College Station area.,Workforce Solutions brazos river Valley.
My favorite is sick and I need to find a veterinarian.,great commoner Animal Clinic.
single am interested in volunteering in my community.,Brazos Valley military volunteer Organizations.
How can ace apply for unemployment benefits?,Texas manpower Commission.
I need legal help with a family matter.,Brazos Valley Affordable effectual Services.
Where can I find discharge or low-cost health clinics in my area?,brazos Valley Community Action Agency.
My landlord is not making necessary repairs to my apartment. What can ane do?,texas RioGrande Legal Aid.
ace need help with my income tax return.,Brazos Valley residential district Action Agency.
How can one get assistance with home repairs for low-income families?,Brazos vale Council of Governments.
i am a senior citizen and need help with transportation.,brazos river Valley Transit.
My child needs immunizations for school. Where can ane get them?,Brazos county Health Department.
I deficiency to donate blood. Where can I go?,Blood Center of brazos Valley.
I need help with addiction treatment. Where can I go?,Recovery Center of brazos Valley.
How can I file to vote?,Brazos County election Administration
one need help paying for my prescription medication.,St. Vincent delaware Paul Pharmacy Assistance
Where can I find information about topical anesthetic farmers markets?,Brazos valley Farmers Market
"My apartment has mold, who can facilitate me?",Brazos vale Community Action Agency
"one want to start a small business, where can one find resources?",Bryan-College Station Chamber of doc
How can iodin report illegal dumping?,Brazos Valley solid state Waste Management Agency
"I am looking for sound aid, where should I go?",Lone Star legal Aid
Where can I find tolerate for victims of domestic violence?,Brazos Valley Council on Domestic fury
I need help determination a low-cost spay/neuter clinic for my pet.,Brazos Animal protection
"My water pecker is too high, where can I get assistance?",City of Bryan Utility Customer inspection and repair
How can i adopt a pet?,Brazos brute Shelter
Where can I find free sound advice?,Texas RioGrande Legal care
ace need help with my immigration case,Immigration Services & Legal advocacy (ISLA)
What are the local recycle options?,Brazos Valley reuse
I'm interested in acquisition about local history,Brazos vale African American Museum
Where can I obtain affordable housing?,brazos river Valley Affordable Housing Corporation
I need help with addiction recuperation,Bryan/College Station alky Anonymous
Where can atomic number  donate blood?,james earl carter jr BloodCare
I lack to learn more about local wildlife,Aggieland Humane club
I need to find a job with flexible time of day,Snagajob
Where can I get icecream from?,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
I am getting pregnancy cramps what should i do?,BCS Prenatal Clinic
I want to buy a house in bryan,Brazos Valley Affordable Housing Corp.
My leg is broken,Brazos Valley Women's Center
I want to talk to someone about my mental health,CAPS
I want my kids to play sports where can i sign them up,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
My computer isnt working what should i do,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
Hi,City of Bryan Community Development
Are there any emergency food assistance programs available?,Brazos Church Pantry
What food assistance programs are available in my area?,Meals on Wheels
Brazos Valley Food Bank,Brazos Valley Food Bank
What government programs provide food assistance?,Meals on Wheels
What resources are available for individuals experiencing food insecurity?,Brazos Valley Food Bank
What resources are available for families experiencing food insecurity?,Brazos Church Pantry
Are there any emergency food assistance programs available?,Brazos Church Pantry
How can I get help with food if I can't leave my home?,Brazos Church Pantry
What are some techniques for managing anxiety during pregnancy?,BCS Prenatal Clinic
Are there any support groups for pregnant women with anxiety?,BCS Prenatal Clinic
What are some safe and effective medications for anxiety during pregnancy?,BCS Prenatal Clinic
How can I find a therapist who specializes in treating anxiety during pregnancy?,BCS Prenatal Clinic
Are there any online resources or apps for managing anxiety during pregnancy?,BCS Prenatal Clinic
Are there any prenatal yoga or meditation classes that can help with anxiety?,BCS Prenatal Clinic
What are some natural remedies for anxiety during pregnancy?,BCS Prenatal Clinic
How can I communicate my anxiety with my healthcare provider?,University Emergency Medical Services
What are some common causes of back pain and nausea during pregnancy?,BCS Prenatal Clinic
Where can I find a healthcare provider who specializes in pregnancy-related back pain and nausea?,BCS Prenatal Clinic
What are some exercises or stretches that can help alleviate back pain during pregnancy?,BCS Prenatal Clinic
What are some home remedies for nausea during pregnancy?,BCS Prenatal Clinic
What should I do if my child has a fever?,BCS Prenatal Clinic
What are some foods that can help boost my child's immune system when they're sick?,BCS Prenatal Clinic
How can I help my child stay hydrated when they're sick?,BCS Prenatal Clinic
What are some tips for improving my credit score?,Brazos Valley Financial Fitness Center
What are some fun and free activities to do with kids during the summer?,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
What are some good books to read for beginner photographers?,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
How do I reset my password on my social media account?,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
What are some healthy meal prep ideas for the week?,Meals on Wheels
How do I fix a leaky faucet in my bathroom?,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
What are some ways to save money on household expenses?,Brazos Valley Financial Fitness Center
How can I learn a new language quickly?,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
How can I improve my writing skills?,Unfortunately we did not find any results for your question. Maybe try asking in a different way?
What are some local baby stores in the BCS area that carry formula and breastfeeding supplies?,BCS Prenatal Clinic
What are some local breastfeeding support groups?,BCS Prenatal Clinic
Are there any free or low-cost breastfeeding classes in the BCS area?,BCS Prenatal Clinic
How can I apply for government assistance programs for low-income individuals?,City of Bryan Community Development
What are some local charities or non-profit organizations in my area that provide financial assistance?,Brazos Valley Affordable Housing Corp.
How can I apply for a grant or scholarship to cover education expenses?,City of College Station Community Development
What are some job training or career development programs in my area?,Counseling and Assessment Clinic
Where can I donate old stuff?,Meals on Wheels
