sentence1,sentence2,similarity
"Where can I find resources for job training, childcare, housing, and education for low-income individuals and families in my community?","Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.9
Where can I find a daycare for my child?,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.55
How can I get involved in supporting or donating to organizations that provide disaster relief or humanitarian aid globally?,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.25
Can I grow a unicorn in my garden?,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.1
I'm struggling with drinking too much and can't quit.,"A drug and addiction treatment center to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",0.9
I need help quitting drugs.,"A drug and addiction treatment center to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",0.9
Can you drink during pregnancy?,"A drug and addiction treatment center to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",0.5
Where can I find an ultrasound?,"A drug and addiction treatment center to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",0.2
Watermelons are on the side of the street after dusk.,"A drug and addiction treatment center to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",0
Can prescription drugs be addictive?,"A drug and addiction treatment center to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",0.7
I've been drunk every day for a month and need help.,"A drug and addiction treatment center to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",0.9
Where can I find prenatal care?,"Cover a multitude of practice areas including consumer, landlord tenant, foreclosure, public benefits, environmental justice, disaster recovery, tax relief, fair housing, family law, domestic violence, sexual assault, crime victim rights, veterans benefits, and more. We are the third-largest service provider of free legal aid in the United States. All clients must meet financial and legal status eligibility requirements. Our general income limits change annually and can be found by accessing the US Federal Poverty Guidelines",0.2
I can't afford groceries right now.,"Cover a multitude of practice areas including consumer, landlord tenant, foreclosure, public benefits, environmental justice, disaster recovery, tax relief, fair housing, family law, domestic violence, sexual assault, crime victim rights, veterans benefits, and more. We are the third-largest service provider of free legal aid in the United States. All clients must meet financial and legal status eligibility requirements. Our general income limits change annually and can be found by accessing the US Federal Poverty Guidelines",0.2
I can't afford legal costs for a speeding ticket.,"Cover a multitude of practice areas including consumer, landlord tenant, foreclosure, public benefits, environmental justice, disaster recovery, tax relief, fair housing, family law, domestic violence, sexual assault, crime victim rights, veterans benefits, and more. We are the third-largest service provider of free legal aid in the United States. All clients must meet financial and legal status eligibility requirements. Our general income limits change annually and can be found by accessing the US Federal Poverty Guidelines",0.8
How can I sue someone for sexually assaulting me?,"Cover a multitude of practice areas including consumer, landlord tenant, foreclosure, public benefits, environmental justice, disaster recovery, tax relief, fair housing, family law, domestic violence, sexual assault, crime victim rights, veterans benefits, and more. We are the third-largest service provider of free legal aid in the United States. All clients must meet financial and legal status eligibility requirements. Our general income limits change annually and can be found by accessing the US Federal Poverty Guidelines",0.6
The bank is foreclosing my home and I need a lawyer.,"Cover a multitude of practice areas including consumer, landlord tenant, foreclosure, public benefits, environmental justice, disaster recovery, tax relief, fair housing, family law, domestic violence, sexual assault, crime victim rights, veterans benefits, and more. We are the third-largest service provider of free legal aid in the United States. All clients must meet financial and legal status eligibility requirements. Our general income limits change annually and can be found by accessing the US Federal Poverty Guidelines",0.7
Fishing is a very fun activity.,"Cover a multitude of practice areas including consumer, landlord tenant, foreclosure, public benefits, environmental justice, disaster recovery, tax relief, fair housing, family law, domestic violence, sexual assault, crime victim rights, veterans benefits, and more. We are the third-largest service provider of free legal aid in the United States. All clients must meet financial and legal status eligibility requirements. Our general income limits change annually and can be found by accessing the US Federal Poverty Guidelines",0
I need to find legal help for my boyfriend.,"Cover a multitude of practice areas including consumer, landlord tenant, foreclosure, public benefits, environmental justice, disaster recovery, tax relief, fair housing, family law, domestic violence, sexual assault, crime victim rights, veterans benefits, and more. We are the third-largest service provider of free legal aid in the United States. All clients must meet financial and legal status eligibility requirements. Our general income limits change annually and can be found by accessing the US Federal Poverty Guidelines",0.8
Where can I find help for my child with Down Syndrome?,"Mental services for children and adults. Public non-profit community MHMR center. Through the Texas Health & Human Services Commission (HHSC), we have the administrative responsibility and authority to provide a continuum of mental health and intellectual and developmental disability services to eligible individuals.",0.8
I feel incredibly anxious and am worried about my mental health.,"Mental services for children and adults. Public non-profit community MHMR center. Through the Texas Health & Human Services Commission (HHSC), we have the administrative responsibility and authority to provide a continuum of mental health and intellectual and developmental disability services to eligible individuals.",0.9
Should I breastfeed my child?,"Mental services for children and adults. Public non-profit community MHMR center. Through the Texas Health & Human Services Commission (HHSC), we have the administrative responsibility and authority to provide a continuum of mental health and intellectual and developmental disability services to eligible individuals.",0.2
How can I be more confident?,"Mental services for children and adults. Public non-profit community MHMR center. Through the Texas Health & Human Services Commission (HHSC), we have the administrative responsibility and authority to provide a continuum of mental health and intellectual and developmental disability services to eligible individuals.",0.4
I need help with depressions.,"Mental services for children and adults. Public non-profit community MHMR center. Through the Texas Health & Human Services Commission (HHSC), we have the administrative responsibility and authority to provide a continuum of mental health and intellectual and developmental disability services to eligible individuals.",0.7
My child has seemed detatched and not himself. I need to find him a counselor.,"Mental services for children and adults. Public non-profit community MHMR center. Through the Texas Health & Human Services Commission (HHSC), we have the administrative responsibility and authority to provide a continuum of mental health and intellectual and developmental disability services to eligible individuals.",0.8
My family is upset with me after I came out.,"Services for LGBTQ+ 
Provides a safe place for persons of all sexual orientations, gender identities, and gender expressions, their families and friends, to meet and socialize without having to worry about who they are. NO PHYSICAL LOCATION YET",0.7
Where can I find ADHD medication?,"Services for LGBTQ+ 
Provides a safe place for persons of all sexual orientations, gender identities, and gender expressions, their families and friends, to meet and socialize without having to worry about who they are. NO PHYSICAL LOCATION YET",0.2
Where can I find other queer people to feel more comfortable?,"Services for LGBTQ+ 
Provides a safe place for persons of all sexual orientations, gender identities, and gender expressions, their families and friends, to meet and socialize without having to worry about who they are. NO PHYSICAL LOCATION YET",0.9
Are there any resources for trans people wanting to transition?,"Services for LGBTQ+ 
Provides a safe place for persons of all sexual orientations, gender identities, and gender expressions, their families and friends, to meet and socialize without having to worry about who they are. NO PHYSICAL LOCATION YET",0.8
My leg hurts and I need to go to a doctor.,"Services for LGBTQ+ 
Provides a safe place for persons of all sexual orientations, gender identities, and gender expressions, their families and friends, to meet and socialize without having to worry about who they are. NO PHYSICAL LOCATION YET",0.2
The second element on the periodic table is Helium.,"Services for LGBTQ+ 
Provides a safe place for persons of all sexual orientations, gender identities, and gender expressions, their families and friends, to meet and socialize without having to worry about who they are. NO PHYSICAL LOCATION YET",0.1
Where can I find HIV AIDS medication?,Provides TFTS Child abuse prevention services through parenting. Provides supervised visitation services; provides co-parenting services; provides medical and housing services for individuals diagnosed with HIV/AIDS including women and youth,0.9
How do I get my child out of an abusive situation?,Provides TFTS Child abuse prevention services through parenting. Provides supervised visitation services; provides co-parenting services; provides medical and housing services for individuals diagnosed with HIV/AIDS including women and youth,0.9
"My kid's dad keeps yelling and hit him once, what should I do?",Provides TFTS Child abuse prevention services through parenting. Provides supervised visitation services; provides co-parenting services; provides medical and housing services for individuals diagnosed with HIV/AIDS including women and youth,0.9
My child want's to see their parent but I'm worried about their safety/,Provides TFTS Child abuse prevention services through parenting. Provides supervised visitation services; provides co-parenting services; provides medical and housing services for individuals diagnosed with HIV/AIDS including women and youth,0.7
Dogs are far better than cats.,Provides TFTS Child abuse prevention services through parenting. Provides supervised visitation services; provides co-parenting services; provides medical and housing services for individuals diagnosed with HIV/AIDS including women and youth,0
I need to find antidepressants.,Provides TFTS Child abuse prevention services through parenting. Provides supervised visitation services; provides co-parenting services; provides medical and housing services for individuals diagnosed with HIV/AIDS including women and youth,0.1
I want to learn about breastfeeding.,They provide education and support with topics ranging from preparing for childbirth to newborn care to breastfeeding,0.7
What should I expect during the second trimester of pregnancy?,They provide education and support with topics ranging from preparing for childbirth to newborn care to breastfeeding,0.8
How can I find daycare for my toddler?,They provide education and support with topics ranging from preparing for childbirth to newborn care to breastfeeding,0.7
What will my body feel like if I get pregnant?,They provide education and support with topics ranging from preparing for childbirth to newborn care to breastfeeding,0.6
I need emergency medical services.,They provide education and support with topics ranging from preparing for childbirth to newborn care to breastfeeding,0.3
Astronauts can fly very high up into space.,They provide education and support with topics ranging from preparing for childbirth to newborn care to breastfeeding,0
"I need legal help to get full custody of my child, his father is abusive.","Services for children who have been abused. They offer forensic Interviews, forensic Medical Exams, and counseling Services",0.6
How can I help my child who has had a vevry rough home life?,"Services for children who have been abused. They offer forensic Interviews, forensic Medical Exams, and counseling Services",0.6
I need surgery for my kid's cancer but can't afford it.,"Services for children who have been abused. They offer forensic Interviews, forensic Medical Exams, and counseling Services",0.3
Can my kid testify against their abuser?,"Services for children who have been abused. They offer forensic Interviews, forensic Medical Exams, and counseling Services",0.8
It is important to make sure your house smells nice by using candles or wax melts.,"Services for children who have been abused. They offer forensic Interviews, forensic Medical Exams, and counseling Services",0
My kid was hit by their parent and needs medical attention.,"Services for children who have been abused. They offer forensic Interviews, forensic Medical Exams, and counseling Services",0.7
Where can I find resources to help me pay for groceries?,"Fights for the health, education and financial stability of every person. In short, Helps people by connecting people with resources to improve the lives of every person.",0.8
I can't afford college but really want to go.,"Fights for the health, education and financial stability of every person. In short, Helps people by connecting people with resources to improve the lives of every person.",0.6
How can I get my family medical care when I don't have enough money?,"Fights for the health, education and financial stability of every person. In short, Helps people by connecting people with resources to improve the lives of every person.",0.7
I need to find a doctor to prescribe me my migraine pills.,"Fights for the health, education and financial stability of every person. In short, Helps people by connecting people with resources to improve the lives of every person.",0.4
Are there any community support groups who help with PTSD?,"Fights for the health, education and financial stability of every person. In short, Helps people by connecting people with resources to improve the lives of every person.",0.4
Lions and tigers are not as scary as bears.,"Fights for the health, education and financial stability of every person. In short, Helps people by connecting people with resources to improve the lives of every person.",0
I need a cheap place to live.,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.9
I never finished high school but need a good job.,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.9
I need a free place to live.,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.7
How can I get food stamps?,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.6
What should I be eating during pregnancy?,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.2
How can I find a community of other pregnant people?,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.1
I just got a DWI. What do I do?,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",0.9
How can I stop vaping and smoking?,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",0.8
My boyfriend scares me when he drinks.,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",0.8
My child drank some of my alcohol. What do I do?,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",0.5
Is binge eating during pregnancy bad?,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",0.1
Which medications are safe during pregnancy?,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",0.3
I need food for my family.,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",0.8
How can I get food stamps?,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",0.7
What should I eat during pregnancy?,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",0.3
I'm almost out of food for the week and I don't have any more money.,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",0.8
My pets are really hungry.,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",0.5
I don't have any good clothes to wear.,"Regional food collection and distribution warehouses that have a goal of collecting and safely storing surplus food, organizing and sorting it with the help of volunteers, then distributing it to areas of high need through partner agencies and special programs to ensure that hungry neighbors are fed.",0
I really need a cheap place to live.,Provides quality affordable housing to low-income families. We are dedicated to sustaining communities that promote individual responsibility as well as creating and cultivating opportunities for participants to achieve self-sufficiency and economic independence.,0.9
How can I find a place to live close to my new job?,Provides quality affordable housing to low-income families. We are dedicated to sustaining communities that promote individual responsibility as well as creating and cultivating opportunities for participants to achieve self-sufficiency and economic independence.,0.8
I need a free place to live.,Provides quality affordable housing to low-income families. We are dedicated to sustaining communities that promote individual responsibility as well as creating and cultivating opportunities for participants to achieve self-sufficiency and economic independence.,0.5
Where can I find environmentally sustainable pregnancy products?,Provides quality affordable housing to low-income families. We are dedicated to sustaining communities that promote individual responsibility as well as creating and cultivating opportunities for participants to achieve self-sufficiency and economic independence.,0
I need a lawyer.,Provides quality affordable housing to low-income families. We are dedicated to sustaining communities that promote individual responsibility as well as creating and cultivating opportunities for participants to achieve self-sufficiency and economic independence.,0
My house is falling apart.,Provides quality affordable housing to low-income families. We are dedicated to sustaining communities that promote individual responsibility as well as creating and cultivating opportunities for participants to achieve self-sufficiency and economic independence.,0.4
I really want to buy a house.,Down payment housing assistance and deposit assistance. Community Development Services administers the City of Bryan’s Community Development Block Grant (CDBG) funds and the Home Investment Partnerships (HOME) program funds inaccordance to guidelines from the U.S. Department of Housing and Urban Development (HUD).,0.9
"I can almost afford a house, but not quite.",Down payment housing assistance and deposit assistance. Community Development Services administers the City of Bryan’s Community Development Block Grant (CDBG) funds and the Home Investment Partnerships (HOME) program funds inaccordance to guidelines from the U.S. Department of Housing and Urban Development (HUD).,0.9
How can I find a cheap house?,Down payment housing assistance and deposit assistance. Community Development Services administers the City of Bryan’s Community Development Block Grant (CDBG) funds and the Home Investment Partnerships (HOME) program funds inaccordance to guidelines from the U.S. Department of Housing and Urban Development (HUD).,0.7
My landlord is kicking me out.,Down payment housing assistance and deposit assistance. Community Development Services administers the City of Bryan’s Community Development Block Grant (CDBG) funds and the Home Investment Partnerships (HOME) program funds inaccordance to guidelines from the U.S. Department of Housing and Urban Development (HUD).,0.5
I need repairs on my house.,Down payment housing assistance and deposit assistance. Community Development Services administers the City of Bryan’s Community Development Block Grant (CDBG) funds and the Home Investment Partnerships (HOME) program funds inaccordance to guidelines from the U.S. Department of Housing and Urban Development (HUD).,0.3
I want to live in Bryan.,Down payment housing assistance and deposit assistance. Community Development Services administers the City of Bryan’s Community Development Block Grant (CDBG) funds and the Home Investment Partnerships (HOME) program funds inaccordance to guidelines from the U.S. Department of Housing and Urban Development (HUD).,0.9
I'm a student at A&M who wants to buy a house.,"Down payment housing assistance and deposit assistance. The City of College Station receives federal funds from the Department of Housing and Urban Development (HUD) through the Community Development Block Grant (CDBG) and the HOME Investment Partnerships (HOME) grant. The Community Development Division of the Community Services Department is tasked with administering these grant funds through several programs 
designed in accordance with the division's goals, federal regulations and input from the City Council.",0.9
I can afford house payments but not the down payment.,"Down payment housing assistance and deposit assistance. The City of College Station receives federal funds from the Department of Housing and Urban Development (HUD) through the Community Development Block Grant (CDBG) and the HOME Investment Partnerships (HOME) grant. The Community Development Division of the Community Services Department is tasked with administering these grant funds through several programs 
designed in accordance with the division's goals, federal regulations and input from the City Council.",0.9
How can I find a cheap house close to Texas A&M's campus?,"Down payment housing assistance and deposit assistance. The City of College Station receives federal funds from the Department of Housing and Urban Development (HUD) through the Community Development Block Grant (CDBG) and the HOME Investment Partnerships (HOME) grant. The Community Development Division of the Community Services Department is tasked with administering these grant funds through several programs 
designed in accordance with the division's goals, federal regulations and input from the City Council.",0.7
I'm getting kicked out of student housing.,"Down payment housing assistance and deposit assistance. The City of College Station receives federal funds from the Department of Housing and Urban Development (HUD) through the Community Development Block Grant (CDBG) and the HOME Investment Partnerships (HOME) grant. The Community Development Division of the Community Services Department is tasked with administering these grant funds through several programs 
designed in accordance with the division's goals, federal regulations and input from the City Council.",0.5
I need repairs on my house.,"Down payment housing assistance and deposit assistance. The City of College Station receives federal funds from the Department of Housing and Urban Development (HUD) through the Community Development Block Grant (CDBG) and the HOME Investment Partnerships (HOME) grant. The Community Development Division of the Community Services Department is tasked with administering these grant funds through several programs 
designed in accordance with the division's goals, federal regulations and input from the City Council.",0.3
I want to live in College Station.,"Down payment housing assistance and deposit assistance. The City of College Station receives federal funds from the Department of Housing and Urban Development (HUD) through the Community Development Block Grant (CDBG) and the HOME Investment Partnerships (HOME) grant. The Community Development Division of the Community Services Department is tasked with administering these grant funds through several programs 
designed in accordance with the division's goals, federal regulations and input from the City Council.",0.9
I'm homeless. Where can I go without my children being taken away from me?,"Supports families by providing shelter, meals, and support services to homeless families. They provide a safe environment in which families can stay together and become self-sufficient.",1
My partner kicked me out. Where can my children and I stay?,"Supports families by providing shelter, meals, and support services to homeless families. They provide a safe environment in which families can stay together and become self-sufficient.",1
I just lost my job. Where can I stay while I find another one?,"Supports families by providing shelter, meals, and support services to homeless families. They provide a safe environment in which families can stay together and become self-sufficient.",0.9
I lost my apartment and I feel depressed. Who can I talk to?,"Supports families by providing shelter, meals, and support services to homeless families. They provide a safe environment in which families can stay together and become self-sufficient.",0.9
Where can I get food stamps?,"Supports families by providing shelter, meals, and support services to homeless families. They provide a safe environment in which families can stay together and become self-sufficient.",0.5
Where can I get a cheap car?,"Supports families by providing shelter, meals, and support services to homeless families. They provide a safe environment in which families can stay together and become self-sufficient.",0.3
